"collection","title","actual_source_path","package_path","extension","size_bytes","subjects","resource_id","resource_type","notes"
"canada-bc-curriculum","en_adst_11_electronics_elab","source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_11_electronics_elab.docx","original-files/source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_11_electronics_elab.docx","docx","106736","computing;curriculum-framework","res.national-standard.canada-bc-curriculum.en-adst-11-electronics-elab.32cf5021.document.full.001","national_standard_document","actual_path_verified; matched_by_collection_and_filename; original_card_uses_old_canada_bc_path"
"canada-bc-curriculum","en_adst_11_engineering_elab","source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_11_engineering_elab.docx","original-files/source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_11_engineering_elab.docx","docx","108643","computing;curriculum-framework","res.national-standard.canada-bc-curriculum.en-adst-11-engineering-elab.7510f3a1.document.full.001","national_standard_document","actual_path_verified; matched_by_collection_and_filename; original_card_uses_old_canada_bc_path"
"canada-bc-curriculum","en_adst_11_food-studies_elab","source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_11_food-studies_elab.docx","original-files/source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_11_food-studies_elab.docx","docx","106638","computing;curriculum-framework","res.national-standard.canada-bc-curriculum.en-adst-11-food-studies-elab.f7308ca4.document.full.001","national_standard_document","actual_path_verified; matched_by_collection_and_filename; original_card_uses_old_canada_bc_path"
"canada-bc-curriculum","en_adst_11_graphic-production_elab","source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_11_graphic-production_elab.docx","original-files/source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_11_graphic-production_elab.docx","docx","107509","computing;curriculum-framework","res.national-standard.canada-bc-curriculum.en-adst-11-graphic-production-elab.22594fac.document.full.001","national_standard_document","actual_path_verified; matched_by_collection_and_filename; original_card_uses_old_canada_bc_path"
"canada-bc-curriculum","en_adst_11_interpersonal-and-family-relationships_elab","source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_11_interpersonal-and-family-relationships_elab.docx","original-files/source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_11_interpersonal-and-family-relationships_elab.docx","docx","108714","computing;physical-education;curriculum-framework","res.national-standard.canada-bc-curriculum.en-adst-11-interpersonal-and-family-relationship.9b97e4c4.document.full.001","national_standard_document","actual_path_verified; matched_by_collection_and_filename; original_card_uses_old_canada_bc_path"
"canada-bc-curriculum","en_adst_11_marketing-and-promotion_elab","source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_11_marketing-and-promotion_elab.docx","original-files/source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_11_marketing-and-promotion_elab.docx","docx","106573","computing;curriculum-framework","res.national-standard.canada-bc-curriculum.en-adst-11-marketing-and-promotion-elab.430ce8b7.document.full.001","national_standard_document","actual_path_verified; matched_by_collection_and_filename; original_card_uses_old_canada_bc_path"
"canada-bc-curriculum","en_adst_11_media-design_elab","source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_11_media-design_elab.docx","original-files/source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_11_media-design_elab.docx","docx","108075","computing;curriculum-framework","res.national-standard.canada-bc-curriculum.en-adst-11-media-design-elab.b09e5364.document.full.001","national_standard_document","actual_path_verified; matched_by_collection_and_filename; original_card_uses_old_canada_bc_path"
"canada-bc-curriculum","en_adst_11_metalwork_elab","source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_11_metalwork_elab.docx","original-files/source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_11_metalwork_elab.docx","docx","107014","computing;curriculum-framework","res.national-standard.canada-bc-curriculum.en-adst-11-metalwork-elab.dd188793.document.full.001","national_standard_document","actual_path_verified; matched_by_collection_and_filename; original_card_uses_old_canada_bc_path"
"canada-bc-curriculum","en_adst_11_robotics_elab","source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_11_robotics_elab.docx","original-files/source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_11_robotics_elab.docx","docx","106725","computing;curriculum-framework","res.national-standard.canada-bc-curriculum.en-adst-11-robotics-elab.6fd0d298.document.full.001","national_standard_document","actual_path_verified; matched_by_collection_and_filename; original_card_uses_old_canada_bc_path"
"canada-bc-curriculum","en_adst_11_textiles_elab","source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_11_textiles_elab.docx","original-files/source/national-standard/canada-bc-curriculum/Applied Design, Skills, and Technologies/en_adst_11_textiles_elab.docx","docx","107558","computing;curriculum-framework","res.national-standard.canada-bc-curriculum.en-adst-11-textiles-elab.43d34a8d.document.full.001","national_standard_document","actual_path_verified; matched_by_collection_and_filename; original_card_uses_old_canada_bc_path"
